2411.02 3310.21 3
-1246.65 -3098.39 4
166.298 6042.84 0
2205.72 -2550.33 4
1546.31 -648.603 5
2238.15 -2918.48 3
1858.85 -2572.63 4
-2825.33 -4917.73 1
2452.48 4270.56 2
1647.7 -6503.87 0
-4838.67 -4422.75 0
-1609.86 -4815.66 1
3103.9 2832.61 3
2471.41 -2516.5 3
4216.93 -3928.61 0
409.489 343.887 5
5489.5 -195.175 1
4543.74 3001.91 1
4555.9 4841.96 0
-725.813 -7273.17 0
-5090.14 1156 1
-2702.72 1668.4 4
-2796.19 -4838.58 1
-507.18 4178.89 3
-3512.29 -3148.55 2
-542.167 -4437.18 2
4.50324 -6065.39 0
-664.153 -5718.01 0
-138.745 6340.36 0
-6339.61 3157.78 0
197.569 1318.01 5
-4309.28 -344.45 2
-2802.11 -1308.31 4
6894.96 -311.749 0
-5515.73 -34.2197 1
-2922.54 314.411 4
1904.84 1394.23 5
-1255.29 4047.24 2
5910.91 115.063 0
-3067.41 2228.02 3
-1085.76 1564.79 5
-3847.24 1682.77 3
3436.4 -4832.91 0
3734.65 4967.32 0
3310.83 -3306.25 2
-728.586 -6816.37 0
2334.38 633.595 5
-2846.02 -921.335 4
1979.01 -3435.92 3
7125.05 262.468 0
3542.78 -4583.97 0
3411.75 -3314.26 2
2117.93 -5133.49 1
-6078.78 2380.63 0
1541.46 1694.85 5
-4589.21 4030.95 0
-1851.08 2363.86 4
640.646 -6777.58 0
4803.52 -4430.39 0
-2599.42 4213.27 2
-1006.29 -6148.19 0
-917.81 396.267 5
-709.728 -1723.67 5
5903.88 4601.37 0
-4617.12 -807.583 2
-4211.75 -585.466 2
5344.75 -2968.23 0
3496.83 5716.67 0
3320.66 -5378.72 0
1872.93 -1585.47 5
5364.25 310.605 1
-3125.02 -340.202 4
-6059.6 497.687 0
5616.78 1356.89 0
1099.22 -597.923 5
-25.098 -716.166 5
5073.97 -5490.4 0
3664.56 -5704.91 0
6297.95 -3346.62 0
-4067.31 -1662.86 2
7490.3 -123.834 0
2785.73 -2099.46 4
4084.13 6163.28 0
-7023.22 -998.559 0
3268.33 6077.1 0
-4611.24 4247.57 0
-5078.98 4898.99 0
3827.44 6252.83 0
-2357.4 3402.03 3
-5904.82 772.312 0
2635.7 1627.77 4
-1669.52 -1161.62 5
5311.12 -4899.98 0
-1134.89 -3550 3
-3473.58 5841.71 0
-1936.51 -3331.71 3
-5374.79 -3081.81 0
6528.43 2326.22 0
5462.41 -2758.23 0
-2506.17 -5823.37 0
0 0 GW
